Date,Open($),High($),Low($),Close ($),VWAP($),Change($),Change(%),Volume,Trade_Value,#Trades
"Oct 31, 2023 12:00 AM",169.35,170.9,167.9,170.77,169.883,0.48,0.282,44846017,7622757551.67,510965
"Oct 30, 2023 12:00 AM",169.02,171.17,168.87,170.29,170.082,2.07,1.231,51130955,8714782651.77,628353
"Oct 27, 2023 12:00 AM",166.91,168.96,166.83,168.22,167.919,1.33,0.797,58499129,9824890118.29,611196
"Oct 26, 2023 12:00 AM",170.37,171.378,165.67,166.89,167.559,-4.21,-2.461,70625258,11855214328.16,817366
"Oct 25, 2023 12:00 AM",171.88,173.06,170.65,171.1,171.512,-2.34,-1.349,57156962,9803043209.77,611042
"Oct 24, 2023 12:00 AM",173.05,173.67,171.45,173.44,172.725,0.44,0.254,43816644,7570575929.8,531392
"Oct 23, 2023 12:00 AM",170.91,174.01,169.93,173,172.368,0.12,0.069,55980109,9650096841.39,639760
"Oct 20, 2023 12:00 AM",175.31,175.42,172.64,172.88,173.75,-2.58,-1.47,64244028,11207927401.62,601380
"Oct 19, 2023 12:00 AM",176.04,177.84,175.19,175.46,176.234,-0.38,-0.216,59302863,10647309609.11,561523
"Oct 18, 2023 12:00 AM",175.58,177.575,175.11,175.84,176.356,-1.31,-0.739,54764375,9659433143.16,541044
"Oct 17, 2023 12:00 AM",176.645,178.42,174.8,177.15,176.856,-1.57,-0.878,57549350,10180171657.72,593204
"Oct 16, 2023 12:00 AM",176.75,179.075,176.51,178.72,178.148,-0.13,-0.073,52516984,9356240786.07,632682
"Oct 13, 2023 12:00 AM",181.42,181.93,178.14,178.85,179.404,-1.86,-1.029,51456082,9234331139.39,532349
"Oct 12, 2023 12:00 AM",180.07,182.34,179.04,180.71,180.969,0.91,0.506,56743119,10270218222.55,617907
"Oct 11, 2023 12:00 AM",178.2,179.85,177.6,179.8,178.939,1.41,0.79,47551098,8511014846.78,504259
"Oct 10, 2023 12:00 AM",178.1,179.72,177.95,178.39,178.664,-0.6,-0.335,43698019,7862382748.66,526410
"Oct 9, 2023 12:00 AM",176.81,179.05,175.8,178.99,177.88,1.5,0.845,42390772,7549838341.58,518349
"Oct 6, 2023 12:00 AM",173.8,177.99,173.18,177.49,176.382,2.58,1.475,57266675,10170801196.32,594658
"Oct 5, 2023 12:00 AM",173.79,175.45,172.68,174.91,174.25,1.25,0.72,48527918,8458953752,510332
"Oct 4, 2023 12:00 AM",171.09,174.21,170.97,173.66,172.952,1.26,0.731,53020286,9172284054.32,562234
"Oct 3, 2023 12:00 AM",172.255,173.63,170.82,172.4,172.128,-1.35,-0.777,49594613,8537684628.03,543124
"Oct 2, 2023 12:00 AM",171.22,174.3,170.93,173.75,173.29,2.54,1.484,52164535,9039730962.9,617312
"Sep 29, 2023 12:00 AM",172.02,173.07,170.341,171.21,171.598,0.52,0.305,51861083,8904381336.66,535769
"Sep 28, 2023 12:00 AM",169.34,172.03,167.62,170.69,170.314,0.26,0.153,56294419,9581211166.4,619613
"Sep 27, 2023 12:00 AM",172.62,173.04,169.05,170.43,170.523,-1.53,-0.89,66921808,11414195475.84,709037
"Sep 26, 2023 12:00 AM",174.82,175.2,171.66,171.96,172.716,-4.12,-2.34,64588945,11157393530.2,689260
"Sep 25, 2023 12:00 AM",174.2,176.97,174.15,176.08,175.676,1.29,0.738,46172740,8123399844.75,564312
"Sep 22, 2023 12:00 AM",174.67,177.079,174.05,174.79,175.472,0.86,0.494,56725385,9956179549.1,607513
"Sep 21, 2023 12:00 AM",174.55,176.3,173.86,173.93,174.887,-1.56,-0.889,63149116,11123009113.17,633356
"Sep 20, 2023 12:00 AM",179.26,179.695,175.4,175.49,177.039,-3.58,-1.999,58436181,10350765506.35,601141
"Sep 19, 2023 12:00 AM",177.52,179.63,177.13,179.07,178.421,1.1,0.618,51826941,9250235435.13,525579
"Sep 18, 2023 12:00 AM",176.48,179.38,176.17,177.97,177.953,2.96,1.691,67257573,11965369534.48,731363
"Sep 15, 2023 12:00 AM",176.48,176.495,173.82,175.01,175.1,-0.73,-0.415,109259461,19137117854.03,738925
"Sep 14, 2023 12:00 AM",174,176.1,173.58,175.74,175.381,1.53,0.878,60895757,10792903840.6,643919
"Sep 13, 2023 12:00 AM",176.51,177.3,173.98,174.21,174.991,-2.09,-1.185,84267928,14736333900,837681
"Sep 12, 2023 12:00 AM",179.49,180.13,174.82,176.3,176.652,-3.06,-1.706,90370192,15960479200,939712
"Sep 11, 2023 12:00 AM",180.07,180.3,177.34,179.36,178.802,1.18,0.662,58953052,10543573100,722536
"Sep 8, 2023 12:00 AM",178.35,180.239,177.79,178.18,179.065,0.62,0.349,65602066,11745850700,758614
"Sep 7, 2023 12:00 AM",175.18,178.21,173.54,177.56,176.608,-5.35,-2.925,112488803,19853550800,1212074
"Sep 6, 2023 12:00 AM",188.4,188.85,181.47,182.91,183.719,-6.79,-3.579,81755816,15014114300,881200
"Sep 5, 2023 12:00 AM",188.28,189.98,187.61,189.7,189.109,0.24,0.127,45280027,8559869320,602624
"Sep 1, 2023 12:00 AM",189.485,189.92,188.28,189.46,189.026,1.59,0.846,45766503,8652260890,531550
"Aug 31, 2023 12:00 AM",187.84,189.12,187.48,187.87,188.15,0.22,0.117,60794467,11439990500,556317
"Aug 30, 2023 12:00 AM",184.94,187.85,184.74,187.65,186.939,3.53,1.917,60813888,11368292800,638370
"Aug 29, 2023 12:00 AM",179.695,184.9,179.5,184.12,183.291,3.93,2.181,53003948,9716892600,577583
"Aug 28, 2023 12:00 AM",180.09,180.59,178.545,180.19,179.62,1.58,0.885,43820697,7870181080,532619
"Aug 25, 2023 12:00 AM",177.38,179.15,175.82,178.61,177.819,2.23,1.264,51449594,9152703200,556472
"Aug 24, 2023 12:00 AM",180.674,181.104,176.01,176.38,177.623,-4.74,-2.617,54945798,9799598170,612716
"Aug 23, 2023 12:00 AM",178.52,181.55,178.325,181.12,180.66,3.89,2.195,52722752,9523578090,588215
"Aug 22, 2023 12:00 AM",177.06,177.68,176.25,177.23,177.001,1.39,0.79,42084245,7448471660,502891
"Aug 21, 2023 12:00 AM",175.07,176.13,173.735,175.84,175.226,1.35,0.774,46311879,8112908910,559969
"Aug 18, 2023 12:00 AM",172.3,175.1,171.96,174.49,173.868,0.49,0.282,61172150,10457743300,598493
"Aug 17, 2023 12:00 AM",177.14,177.505,173.48,174,174.588,-2.57,-1.456,66062882,11534756200,674719
"Aug 16, 2023 12:00 AM",177.13,178.54,176.5,176.57,177.441,-0.88,-0.496,46964857,8331699120,527265
"Aug 15, 2023 12:00 AM",178.88,179.48,177.05,177.45,177.878,-2.01,-1.12,43622593,7763124750,511093
"Aug 14, 2023 12:00 AM",177.97,179.69,177.305,179.46,178.932,1.67,0.939,43675627,7814105330,565106
"Aug 11, 2023 12:00 AM",177.32,178.62,176.55,177.79,177.775,-0.18,-0.101,52036672,9250942330,587777
"Aug 10, 2023 12:00 AM",179.48,180.75,177.6,177.97,178.808,-0.22,-0.123,54686851,9786548980,654629
"Aug 9, 2023 12:00 AM",180.87,180.93,177.01,178.19,178.456,-1.61,-0.895,60378492,10790291500,668348
"Aug 8, 2023 12:00 AM",179.69,180.27,177.58,179.8,179.005,0.95,0.531,67823003,12138477200,712017
"Aug 7, 2023 12:00 AM",182.13,183.13,177.35,178.85,178.838,-3.14,-1.725,97576069,17447272200,1159751
"Aug 4, 2023 12:00 AM",185.52,187.38,181.92,181.99,184.169,-9.18,-4.802,115956841,21342008900,1341126
"Aug 3, 2023 12:00 AM",191.57,192.37,190.69,191.17,191.111,-1.41,-0.732,62243282,11890285200,756302
"Aug 2, 2023 12:00 AM",195.04,195.18,191.851,192.58,192.903,-3.025,-1.546,50389327,9719884900,620699
"Aug 1, 2023 12:00 AM",196.235,196.73,195.28,195.605,195.837,-0.845,-0.43,35281426,6913309400,478826
"Jul 31, 2023 12:00 AM",196.06,196.49,195.26,196.45,196.14,0.62,0.317,38824113,7613295190,530586
"Jul 28, 2023 12:00 AM",194.67,196.626,194.14,195.83,195.792,2.61,1.351,48291443,9454768270,520236
"Jul 27, 2023 12:00 AM",196.02,197.2,192.55,193.22,194.904,-1.28,-0.658,47460180,9250705550,571694
"Jul 26, 2023 12:00 AM",193.67,195.64,193.32,194.5,194.369,0.88,0.454,47471868,9236929810,503639
"Jul 25, 2023 12:00 AM",193.33,194.44,192.915,193.62,193.776,0.87,0.451,37283201,7378084930,446486
"Jul 24, 2023 12:00 AM",193.41,194.91,192.25,192.75,193.199,0.81,0.422,45505097,8790225130,525969
"Jul 21, 2023 12:00 AM",194.1,194.97,191.23,191.94,192.684,-1.19,-0.616,71951683,13914836500,581706
"Jul 20, 2023 12:00 AM",195.09,196.47,192.495,193.13,194.254,-1.97,-1.01,59581196,11576061900,641138
"Jul 19, 2023 12:00 AM",193.1,198.23,192.65,195.1,194.956,1.37,0.707,80507323,15680940600,777888
"Jul 18, 2023 12:00 AM",193.35,194.33,192.415,193.73,193.364,-0.26,-0.134,48353774,9388594180,545706
"Jul 17, 2023 12:00 AM",191.9,194.32,191.81,193.99,193.319,3.3,1.731,50520159,9763509100,602976
"Jul 14, 2023 12:00 AM",190.23,191.18,189.63,190.69,190.454,0.15,0.079,41616242,7928078650,514566
"Jul 13, 2023 12:00 AM",190.5,191.19,189.78,190.54,190.55,0.77,0.406,41342338,7879157960,469048
"Jul 12, 2023 12:00 AM",189.68,191.7,188.47,189.77,189.956,1.69,0.899,60750248,11539486300,653684
"Jul 11, 2023 12:00 AM",189.16,189.3,186.6,188.08,187.798,-0.53,-0.281,46638119,8758728460,579270
"Jul 10, 2023 12:00 AM",189.26,189.99,187.035,188.61,188.329,-2.07,-1.086,59922163,11400776500,737005
"Jul 7, 2023 12:00 AM",191.41,192.67,190.24,190.68,191.408,-1.13,-0.589,46814998,8961495560,539788
"Jul 6, 2023 12:00 AM",189.84,192.02,189.2,191.81,190.803,0.48,0.251,45156009,8616768890,563889
"Jul 5, 2023 12:00 AM",191.565,192.98,190.62,191.33,191.592,-1.13,-0.587,46920261,8987312590,560288
"Jul 3, 2023 12:00 AM",193.78,193.88,191.76,192.46,192.625,-1.51,-0.778,31458198,6253582160,500392
"Jun 30, 2023 12:00 AM",191.63,194.48,191.26,193.97,193.124,4.38,2.31,85213216,16448078600,775836
"Jun 29, 2023 12:00 AM",189.08,190.07,188.94,189.59,189.543,0.34,0.18,46347308,8785110460,526850
"Jun 28, 2023 12:00 AM",187.93,189.9,187.6,189.25,188.878,1.19,0.633,51216801,9679847600,560073
"Jun 27, 2023 12:00 AM",185.89,188.39,185.67,188.06,187.472,2.79,1.506,50730846,9515149370,513118
"Jun 26, 2023 12:00 AM",186.83,188.05,185.23,185.27,186.305,-1.41,-0.755,48088661,8957746170,584610
"Jun 23, 2023 12:00 AM",185.55,187.56,185.01,186.68,186.475,-0.32,-0.171,53116996,9915542920,540837
"Jun 22, 2023 12:00 AM",183.74,187.045,183.67,187,186.087,3.04,1.653,51245327,9537025470,564038
"Jun 21, 2023 12:00 AM",184.9,185.41,182.59,183.96,184.067,-1.05,-0.568,49515697,9115359600,521966
"Jun 20, 2023 12:00 AM",184.41,186.1,184.41,185.01,185.271,0.09,0.049,49799092,9230445470,577631
"Jun 16, 2023 12:00 AM",186.73,186.99,184.27,184.92,185.494,-1.09,-0.586,101256225,18773745600,617440
"Jun 15, 2023 12:00 AM",183.96,186.52,183.78,186.01,185.559,2.06,1.12,65433166,12139823000,697979
"Jun 14, 2023 12:00 AM",183.37,184.39,182.02,183.95,183.689,0.64,0.349,57462882,10556467900,615552
"Jun 13, 2023 12:00 AM",182.8,184.15,182.44,183.31,183.164,-0.48,-0.261,54929129,10085244100,610004
"Jun 12, 2023 12:00 AM",181.27,183.89,180.97,183.79,182.784,2.83,1.564,54754995,10009556100,562189
"Jun 9, 2023 12:00 AM",181.5,182.23,180.63,180.96,181.431,0.39,0.216,48899973,8872547960,559324
"Jun 8, 2023 12:00 AM",177.895,180.84,177.46,180.57,179.53,2.75,1.547,50214881,9125276910,549750
"Jun 7, 2023 12:00 AM",178.44,181.21,177.32,177.82,178.649,-1.39,-0.776,61944615,11065924700,670407
"Jun 6, 2023 12:00 AM",179.965,180.12,177.43,179.21,178.683,-0.37,-0.206,64848374,11585375100,706712
"Jun 5, 2023 12:00 AM",182.63,184.951,178.035,179.58,182.062,-1.37,-0.757,121946497,22189310800,1286376
"Jun 2, 2023 12:00 AM",181.03,181.78,179.26,180.95,180.624,0.86,0.478,61996913,11199849000,618925
"Jun 1, 2023 12:00 AM",177.7,180.12,176.931,180.09,179.377,2.84,1.602,68901809,12357748500,625219
"May 31, 2023 12:00 AM",177.325,179.35,176.76,177.25,177.945,-0.05,-0.028,99625288,17731770800,670263
"May 30, 2023 12:00 AM",176.96,178.99,176.57,177.3,177.434,1.87,1.066,55964401,9928688450,651619
"May 26, 2023 12:00 AM",173.32,175.77,173.11,175.43,175.137,2.44,1.41,54834975,9603157180,530837
"May 25, 2023 12:00 AM",172.41,173.895,171.69,172.99,172.893,1.15,0.669,56058258,9741067690,536250
"May 24, 2023 12:00 AM",171.09,172.418,170.52,171.84,171.489,0.28,0.163,45143488,7741819520,493369
"May 23, 2023 12:00 AM",173.13,173.379,171.275,171.56,172.166,-2.64,-1.515,50747263,8738529200,536251
"May 22, 2023 12:00 AM",173.98,174.71,173.45,174.2,174.183,-0.96,-0.548,43570932,7616207960,526661
"May 19, 2023 12:00 AM",176.39,176.39,174.94,175.16,175.502,0.11,0.063,55809475,9846920460,533824
"May 18, 2023 12:00 AM",173,175.24,172.58,175.05,174.352,2.36,1.367,65496657,11410984600,596414
"May 17, 2023 12:00 AM",171.71,172.925,170.42,172.69,171.827,0.62,0.36,57951604,9984672960,555577
"May 16, 2023 12:00 AM",171.99,173.138,171.799,172.07,172.275,0,0,42110293,7253310030,436794
"May 15, 2023 12:00 AM",173.16,173.21,171.47,172.07,172.083,-0.5,-0.29,37266659,6414417030,444963
"May 12, 2023 12:00 AM",173.62,174.06,171,172.57,172.346,-1.18,-0.679,45533138,7847819140,491181
"May 11, 2023 12:00 AM",173.85,174.59,172.17,173.75,173.476,0.195,0.112,49514676,8592479860,502684
"May 10, 2023 12:00 AM",173.02,174.03,171.9,173.555,173.175,1.785,1.039,53724501,9302676270,512161
"May 9, 2023 12:00 AM",173.05,173.54,171.6,171.77,172.219,-1.73,-0.997,45326874,7810579130,456956
"May 8, 2023 12:00 AM",172.48,173.85,172.11,173.5,173.307,-0.07,-0.04,55962793,9697966760,563758
"May 5, 2023 12:00 AM",170.975,174.3,170.76,173.57,173.318,7.78,4.693,113453171,19641564200,916989
"May 4, 2023 12:00 AM",164.89,167.04,164.31,165.79,166.089,-1.66,-0.991,81235427,13487455200,833033
"May 3, 2023 12:00 AM",169.5,170.92,167.16,167.45,169.098,-1.09,-0.647,65136018,11006516400,610765
"May 2, 2023 12:00 AM",170.09,170.35,167.54,168.54,168.671,-1.05,-0.619,48425696,8167578870,510505
"May 1, 2023 12:00 AM",169.28,170.45,168.64,169.59,169.651,-0.09,-0.053,52472936,8900122380,540992
"Apr 28, 2023 12:00 AM",168.49,169.85,167.88,169.68,168.976,1.27,0.754,55275851,9745272480,528647
"Apr 27, 2023 12:00 AM",165.19,168.56,165.19,168.41,167.357,4.65,2.84,64902329,10857092600,576641
"Apr 26, 2023 12:00 AM",163.055,165.28,162.8,163.76,163.901,-0.01,-0.006,45498796,7565828790,494123
"Apr 25, 2023 12:00 AM",165.19,166.305,163.73,163.77,164.614,-1.56,-0.944,48714063,8020735560,509997
"Apr 24, 2023 12:00 AM",165,165.6,163.89,165.33,164.952,0.31,0.188,41949581,6929050600,459640
"Apr 21, 2023 12:00 AM",165.05,166.452,164.49,165.02,165.081,-1.63,-0.978,58337341,9639060290,520945
"Apr 20, 2023 12:00 AM",166.09,167.87,165.56,166.65,166.786,-0.98,-0.585,52456377,8751220680,493971
"Apr 19, 2023 12:00 AM",165.8,168.16,165.54,167.63,167.277,1.16,0.697,47720166,8149700930,474570
"Apr 18, 2023 12:00 AM",166.1,167.41,165.65,166.47,166.344,1.24,0.75,49923008,8303231540,495241
"Apr 17, 2023 12:00 AM",165.09,165.39,164.03,165.23,164.783,0.02,0.012,41516217,6844521610,483574
"Apr 14, 2023 12:00 AM",164.59,166.32,163.82,165.21,165.038,-0.35,-0.211,49386480,8149239810,490509
"Apr 13, 2023 12:00 AM",161.63,165.8,161.42,165.56,164.389,5.46,3.41,68445649,11247630300,596302
"Apr 12, 2023 12:00 AM",161.22,162.06,159.78,160.1,160.849,-0.7,-0.435,50133062,8064834880,514971
"Apr 11, 2023 12:00 AM",162.35,162.36,160.51,160.8,161.1,-1.23,-0.759,47644217,7676459090,491311
"Apr 10, 2023 12:00 AM",161.42,162.03,160.08,162.03,161.248,-2.63,-1.597,47716882,7693341610,564109
"Apr 6, 2023 12:00 AM",162.43,164.958,162,164.66,164.024,0.9,0.55,45390123,7446126530,447073
"Apr 5, 2023 12:00 AM",164.74,165.05,161.8,163.76,163.456,-1.87,-1.129,51511744,8420462920,534297
"Apr 4, 2023 12:00 AM",166.595,166.84,165.11,165.63,165.886,-0.54,-0.325,46278295,7683397880,457322
"Apr 3, 2023 12:00 AM",164.27,166.29,164.22,166.17,165.384,1.27,0.77,56976187,9460471160,569377
"Mar 31, 2023 12:00 AM",162.44,165,161.91,164.9,164.06,2.54,1.564,68749792,11276798600,575341
"Mar 30, 2023 12:00 AM",161.53,162.47,161.271,162.36,162.018,1.59,0.989,49501689,8019534830,456873
"Mar 29, 2023 12:00 AM",159.37,161.05,159.35,160.77,160.215,3.12,1.979,51305691,8218999120,472503
"Mar 28, 2023 12:00 AM",157.97,158.49,155.98,157.65,156.971,-0.63,-0.398,45992152,7219700880,433164
"Mar 27, 2023 12:00 AM",159.94,160.77,157.87,158.28,158.989,-1.97,-1.229,52390266,8329332170,518642
